id,title,description,image_link,link,price,"City name","Property type",Address,"Listing type"
174826,"Chalet Independiente en venta en Málaga Este - Málaga | Gilmar","5 hab, 2 baños, 225.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-07/ca920925-3567-43dd-be56-8347d99f8844/23.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-malaga-este-malaga-referencia-174826/,"580,000.00 EUR","Málaga Este",Viviendas,"36.71949496396714, -4.375439271974314",Comprar
194158,"Edificio Residencial en venta en Estepona Este - Málaga | Gilmar","1344.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-02/47df4794-e565-49f9-b8fd-21cdb044c30d/1.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-edificio-estepona-este-malaga-referencia-194158/,"2,900,000.00 EUR","Estepona Este",Edificios,"36.43506144759674, -5.111979899218432",Comprar
196468,"Ático-Dúplex en venta en Milla de Oro - Marb. Club - Málaga | Gilmar","4 hab, 4 baños, 367.55 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-04/a0bc51f2-714e-4e32-b4b9-b48b42ac7347/DSC03730.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-milla-de-oro-marb-club-malaga-referencia-196468/,"2,950,000.00 EUR","Milla de Oro - Marb. Club",Viviendas,"36.51269629614434, -4.930292117461669",Comprar
196845,"Apartamento en venta en Puerto Banús - Málaga | Gilmar Consulting","3 hab, 2 baños, 135.84 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-04/53041bf4-e9f6-47b1-bb15-6d4303645da7/DSC04692.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-puerto-banus-malaga-referencia-196845/,"595,000.00 EUR","Puerto Banús",Viviendas,"36.48655661466126, -4.957777761904712",Comprar
197099,"Apartamento en venta en Puerto Banús - Málaga | Gilmar Consulting","2 hab, 2 baños, 106.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-05/57dc02a2-dad9-4e2c-9223-f4fed4053daa/DSC06525.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-puerto-banus-malaga-referencia-197099/,"580,000.00 EUR","Puerto Banús",Viviendas,"36.48751705459101, -4.953585838475918",Comprar
191540,"Ático-Dúplex en venta en Nueva Andalucía - Málaga | Gilmar Consulting","2 hab, 2 baños, 106.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2023-11/c1da4d06-36e1-4c51-9bc5-5f58edd3653c/BLQ_02_PL1_Apt4_Terraza_cam2_v3.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-nueva-andalucia-malaga-referencia-191540/,"511,500.00 EUR","Nueva Andalucía",Viviendas,"36.522519764773435, -4.971584557911014",Comprar
192651,"Apartamento en venta en Milla de Oro - Marb. Club - Málaga | Gilmar","3 hab, 4 baños, 250.6 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-04/e9348d7d-66f8-4b01-9e05-7ba0aec426b4/DSC05304.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-milla-de-oro-marb-club-malaga-referencia-192651/,"1,800,000.00 EUR","Milla de Oro - Marb. Club",Viviendas,"36.50812768248285, -4.946366515721784",Comprar
193128,"Apartamento en venta en Milla de Oro - Marb. Club - Málaga | Gilmar","3 hab, 3 baños, 302.72 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-01/c4f81cee-57b6-4a22-9341-364c3f9be436/DSC01702.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-milla-de-oro-marb-club-malaga-referencia-193128/,"1,850,000.00 EUR","Milla de Oro - Marb. Club",Viviendas,"36.50663910606793, -4.942762358494859",Comprar
194058,"Chalet Adosado en venta en Istán - Málaga | Gilmar Consulting","3 hab, 3 baños, 202.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-04/830c304d-2abc-4303-ae59-b7b33aedd38a/DJI_0223.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-istan-malaga-referencia-194058/,"475,000.00 EUR",Istán,Viviendas,"36.582604166012935, -4.950707187451803",Comprar
198019,"Apartamento en venta en Puerto Banús - Málaga | Gilmar Consulting","1 hab, 1 baños, 119.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-05/d5f2d338-abcb-49f9-8fb4-626c24616d4f/WhatsApp%20Image%202024-05-23%20at%2016.13.56.jpeg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-puerto-banus-malaga-referencia-198019/,"630,000.00 EUR","Puerto Banús",Viviendas,"36.48584174254618, -4.95261293774259",Comprar
